prefecture,periodontal_rate,chronic_periodontal_rate,caries_rate,periodontal_count,chronic_periodontal_count,caries_count,hba1c_high_rate,hba1c_mean,dm_complication_rate,dialysis_prevention_rate,aging_rate,pop_density,income_per_capita,smoking_rate,bmi_obesity_rate
北海道,107316.55965397636,1774.4468777980535,39256.81399621101,5606876.0,92708.0,2051017.0,7.638026753516168,5.638748675662598,281.7241618232466,64.31097110714782,31.938455166257256,62.62736470231164,3175.568253251267,3.9499382011340805,33.85648844944041
青森県,79755.23108537753,893.468736267997,40412.15395352444,987357.0,11061.0,500296.0,8.564432914565542,5.657119030268211,84.16910073151188,23.34440509731952,34.02887274795151,128.34648608075773,2834.549318639021,3.8643928344365905,34.014182171131075
岩手県,109218.74148103234,3591.225029615029,46911.94134158974,1322130.0,43473.0,567885.0,7.44838998891396,5.630586382943713,146.13385497639885,148.19905925814558,33.3632925634472,79.2493098204191,2882.6438593108664,5.92887332661326,33.41065033628044
宮城県,114374.0910062398,9446.497735009096,47798.0413519398,2632887.0,217458.0,1100309.0,9.106195306738666,5.772091371085155,109.73085965396989,38.66210019478748,28.02385408141456,316.11184501429506,3250.167066165693,4.297360276983468,32.689447438228015
秋田県,105935.16219872392,8137.867352022195,45403.969976091765,1016450.0,78083.0,435652.0,7.520149116589221,5.632075169927933,57.84250579988369,51.06815827377118,36.44546858682941,82.44900975465563,2821.660014789229,4.394080443774772,32.85121251876889
山形県,113115.39876800869,4750.160810541307,45255.31657907525,1208103.0,50733.0,483339.0,8.169512315324885,5.675425654904727,330.5159888279978,58.7063810184574,33.56516267847161,114.55645355915117,2894.4654443375507,3.117716225900492,31.291390458352165
福島県,94718.55034388856,7821.119034319031,46451.68540306533,1736335.0,143373.0,851530.0,8.523679069637966,5.697750359049897,127.75809098208988,37.64008658310931,31.829711884230004,132.99225908487438,3052.5833300571016,4.008879289656828,33.40771899335795
茨城県,111426.71683276891,6754.425954016886,45801.70484292167,3194614.0,193650.0,1313139.0,8.749433692185923,5.7455007381728365,109.277647890188,60.06259485059167,29.714870096326862,470.2180840682348,3311.6394120712744,3.4260181993432552,32.272204409923894
栃木県,103834.78537058248,15657.275756719871,46728.07951391152,2007278.0,302678.0,903322.0,8.087245285502354,5.691119814886244,331.89422837178364,76.86951735668181,28.8940411122595,301.6727293155995,3265.5064941123883,3.6720801504812632,32.16398274645391
群馬県,94642.85161749464,4541.207048594458,50926.45595144164,1835229.0,88059.0,987520.0,8.255379238331233,5.707649072686436,281.4177638194841,115.4653423477781,29.64065989036208,304.7822478734039,3221.005826836184,3.483349491315571,30.37800583407645
埼玉県,124284.12617694373,9914.830494917129,47261.34872933307,9128377.0,728221.0,3471235.0,7.487804038074032,5.671663708757164,176.61558947086803,37.49609415685866,26.806072079909978,1933.9780132973472,3594.5824306471472,3.117708980410496,30.54151611962258
千葉県,132153.95704974796,10899.183385101074,46295.63623402413,8305189.0,684957.0,2909440.0,7.410779212040783,5.674702766642531,105.32295432557667,63.37835429502521,27.522977239166963,1218.4868572846726,3679.757499532487,3.4275713211084775,30.979396163843266
東京都,149167.82190601467,14858.224120087754,51902.01966258421,20954490.0,2087223.0,7290985.0,5.967876272071919,5.605660204559308,198.6817101917951,91.681180421359,22.72285204142432,6402.644448799697,4920.155525707363,3.08184099416376,27.94377577644979
神奈川県,130491.0495308334,11130.155801396008,46430.90319212128,12053898.0,1028130.0,4288979.0,6.13444500840198,5.616683074856727,295.5180697640456,87.54687633459729,25.8224962454006,3823.227005392966,4049.4558191789015,3.104331008061035,28.92885541318727
新潟県,71339.84350866226,8698.152704436345,39304.09326970951,1570384.0,191470.0,865190.0,7.361770949155969,5.674412340041757,63.50873494961096,101.57763329565816,32.9253268110438,174.92375347460066,2960.3745130484394,3.4255056472027756,27.2887009199242
富山県,84218.99974294897,11027.392362298926,40569.99615389819,871510.0,114113.0,419824.0,8.010504728858585,5.7262636140089525,332.91006886261687,277.63443478731443,32.37548003795852,243.62264897201013,3127.323227209044,3.5472470597323342,28.177999066438463
石川県,84310.20568181216,7459.519693146118,50954.68006915515,954835.0,84481.0,577075.0,8.333791305849749,5.752441990354592,228.86891779967965,236.37426425530185,29.79410627217388,270.5450671151361,3216.979427136708,3.144043877092822,28.184294192082948
福井県,87828.98640304721,7051.1942811167055,45363.25262791398,673528.0,54073.0,347874.0,7.41402660772785,5.6776997819419455,193.7764633317816,45.118880425838775,31.25877764346435,182.9994845508433,3150.4574473705065,3.240384360151833,28.35718556469175
山梨県,120821.40908226684,3288.7475400444955,48958.48508717564,978622.0,26638.0,396551.0,7.92108882409127,5.753009444209009,120.62115574080156,55.68079963060542,30.701479306743177,181.39418221070616,3230.804593300432,4.024347065439247,28.02792946020947
長野県,100427.24379898352,13909.59325902058,39952.71509772165,2056761.0,284870.0,818236.0,6.623937457907861,5.673651200828136,236.9616178819352,84.56985826736282,31.78679216078429,151.01588607800284,3157.494087439883,3.5115511013556713,27.102164348748115
岐阜県,142686.81819054735,12291.445777165492,47547.83594829442,2823404.0,243216.0,940849.0,7.226664903239824,5.675893167819692,275.4780562599874,62.71661489976965,30.476838314444223,186.2995926106904,3278.0010287152163,3.598747751346935,27.692071171518844
静岡県,109420.86346974378,17300.194153807028,42876.39388065954,3975481.0,628551.0,1557786.0,7.758892888395717,5.723207943002351,229.38443829987983,36.41416029166559,29.83321598964219,467.1468595667206,3306.2874119542494,3.5477271100646854,28.22829327681432
愛知県,145260.9542169186,13381.058984423424,53766.70469604231,10956184.0,1009255.0,4055308.0,7.50997586843,5.6957682734354185,277.4840684316628,106.58389918878768,25.25447088233676,1458.0152597973738,3818.0953132648624,3.1126375468422895,29.0340826809551
三重県,129193.26831064922,12857.928862185878,42856.787782996114,2287049.0,227618.0,758674.0,7.9778422797884625,5.698174532573685,238.89227195645373,65.69678701474477,29.728954150082416,306.5645624115723,3336.514335970188,3.459742038469978,29.18226517159848
滋賀県,107872.46836114628,12048.30186543672,42943.52756417965,1524896.0,170316.0,607054.0,6.657027841282306,5.659296040971843,444.1111763499126,105.19167238488691,26.511979966185866,351.8736091681643,3455.5056434321777,3.1950400895021445,27.58125949841064
京都府,124835.50787851612,8403.672955955328,39802.07029475732,3218368.0,216654.0,1026132.0,6.466776598462504,5.649366102391347,341.8426143105333,60.31604053703386,30.28020388761124,558.9712067993582,3582.196088495716,3.5813804258012336,26.063276142637683
大阪府,148334.04901849295,15676.265899950042,46303.890668201006,13109296.0,1385419.0,4092192.0,6.772568276604332,5.648310109368377,316.98346342961986,123.44861804873108,27.60649423463272,4638.425566309072,3646.151804698209,3.2881711589242792,28.839936244534147
兵庫県,134934.8088070233,11280.89248640714,47234.05407719888,7374190.0,616501.0,2581342.0,6.743398354172335,5.65572351470214,313.5588971422152,95.2241188566811,28.93781191662876,650.5164849030236,3716.112340400623,3.4868354451159953,27.54827761793484
奈良県,128148.40317620667,6388.503200895752,45622.900580079775,1697291.0,84614.0,604263.0,6.880945295018903,5.636972872840801,357.1231727638087,17.21439395140558,31.79098403666968,358.84435943147275,3515.088559664794,3.509636615986373,27.93862372632589
和歌山県,114079.15160028788,7549.556463151323,46611.907425231744,1052476.0,69651.0,430034.0,8.577570366740824,5.704958604231686,415.7886978313085,7.153820139954735,33.1553549595484,195.2703374853164,3164.844744883502,3.906594126120549,28.904373020204748
鳥取県,112556.03922610302,7294.631256923025,50070.02079843586,622893.0,40369.0,277091.0,6.750218799229827,5.631799774717277,277.1920123887121,74.62861872003788,32.5928295088425,157.79483509308182,2874.0386010215893,3.5681090006451686,27.1038542560012
島根県,108862.2702741363,5053.74549637475,50699.1235624905,730603.0,33917.0,340255.0,7.781316348195329,5.703482484499175,419.8913467813793,91.78604315732068,33.80453148887094,100.0447209857698,2931.8230233079044,4.307249081945262,27.113416473093583
岡山県,128186.71786964,13143.443873012106,53169.931456361686,2420719.0,248205.0,1004078.0,7.714895610975166,5.735063429453449,198.25972023350587,59.52027925813585,30.91729011158464,265.4405966549204,3190.045668867506,2.997971481253174,29.37559671567692
広島県,132772.1664662882,10294.952819978698,48246.2062033745,3717225.0,288228.0,1350750.0,7.143631583227171,5.663078046748366,172.69695131839032,32.039124163928875,29.630367803430502,330.1679436484847,3375.836773639297,2.8495035081734446,28.96899582003094
山口県,108814.73914336106,10343.658512777754,39710.47472577584,1460358.0,138818.0,532938.0,7.545817141101432,5.686201616515003,201.40694261578665,27.122503556102977,34.665018452989024,219.5583178187791,3199.3210611049644,4.004993604142582,27.92267945377852
徳島県,119210.5164413203,13461.578550195329,54783.83287541397,857790.0,96864.0,394202.0,7.532561921940021,5.679407135431601,228.8901952445873,93.5295090465132,34.26167972327495,173.52360282148672,3151.550325615516,3.8448625585787233,31.42159368085373
香川県,131277.75602897783,14972.154520312675,51233.99884661203,1247459.0,142272.0,486848.0,7.321173405060099,5.688754010446619,206.683757013988,42.19968765916964,31.962632755376514,506.3161372137384,3164.1428952056667,3.68416156771953,30.4907865970642
愛媛県,124979.00499010744,3988.714760784244,52687.47363918249,1668271.0,53243.0,703294.0,7.155590949699442,5.673546753602705,451.4395347460859,186.6139862350647,33.65928975810602,235.1649610037719,3103.6149465878766,4.939031765055141,31.16207412916657
高知県,113068.0363890347,11868.950886950184,53981.11715088493,781896.0,82077.0,373294.0,8.149660430815382,5.716763986567896,140.12468059815453,67.3871012990093,35.9631655741569,97.34839793176164,2964.568405228408,3.062202295602543,31.096311963491203
福岡県,128267.91639063144,7689.7282177529505,50447.40102359901,6586832.0,394884.0,2590582.0,7.7282526180558255,5.6853209615782365,262.79333246871505,81.3792765014272,27.70622606964384,1029.8212577534186,3344.584595597869,3.9832426665891054,29.014108833800197
佐賀県,124647.73460948934,9368.977974480164,47056.56945998295,1011646.0,76039.0,381913.0,9.65768236721346,5.761547436859297,262.6896861030749,75.65265819291182,30.84915796373601,332.53055488406966,2966.944547949763,2.3929195120271904,29.59757775942747
長崎県,127520.48476092286,18139.44344239997,43508.99973101011,1673473.0,238047.0,570976.0,7.582602762385244,5.646301610258664,218.31615379515773,133.504328603531,32.741326981209575,317.67691927823427,2952.2238535001056,4.53463353007363,30.907790485316887
熊本県,121415.2209542536,10571.874491241737,43482.45787122024,2110562.0,183771.0,755856.0,9.013306658372771,5.7703203949527975,73.46253612003905,111.14300687855555,31.913920546556668,234.60562578109605,3040.5730984535207,3.8343704317727387,31.365164434241024
大分県,84493.95472001651,6251.4459199254,44425.33358484925,949587.0,70257.0,499275.0,8.054276254282582,5.689151960146953,127.68585187373426,70.56089235949217,33.346739606282675,177.24247566537764,2991.361829751293,4.297233934751432,31.57935107770192
宮崎県,79732.4360307262,24674.07645646499,51121.19194895921,852799.0,263908.0,546780.0,8.032818545674917,5.699375978091876,110.51108102650024,28.42247769209481,32.72633267762179,138.2735074115539,2879.375203908037,4.131087537303482,31.55090493483048
鹿児島県,74908.32712106864,11832.03463421514,44392.33977394072,1189736.0,187923.0,705064.0,8.994101729956522,5.676415874818034,147.77214756311326,179.50506719319807,32.83412749581932,172.8796807683851,2942.593686582972,4.494914098460024,32.51420786520056
沖縄県,83495.31169078965,13558.958214081282,48666.76206830757,1225277.0,198975.0,714175.0,5.851823823398463,5.714796430111677,122.72739662550768,54.44707934690763,22.608621582576934,642.9012656675093,3027.955151298913,5.16555886755727,39.846061375096006
