prefecture,periodontal_rate,dm_complication_rate,hba1c_high_rate,aging_rate,pop_density,income_per_capita,smoking_rate,bmi_obesity_rate
北海道,107316.55965397636,281.7241618232466,7.638026753516168,31.938455166257256,62.62736470231164,3175.568253251267,3.949938201134081,33.85648844944041
青森県,79755.23108537753,84.16910073151188,8.564432914565542,34.02887274795151,128.34648608075773,2834.549318639021,3.864392834436591,34.014182171131075
岩手県,109218.74148103234,146.13385497639885,7.44838998891396,33.3632925634472,79.2493098204191,2882.6438593108664,5.92887332661326,33.41065033628044
宮城県,114374.0910062398,109.73085965396989,9.106195306738666,28.02385408141456,316.11184501429506,3250.167066165693,4.297360276983468,32.689447438228015
秋田県,105935.16219872392,57.84250579988369,7.520149116589221,36.44546858682941,82.44900975465563,2821.660014789229,4.394080443774772,32.85121251876889
山形県,113115.39876800869,330.5159888279978,8.169512315324885,33.56516267847161,114.55645355915117,2894.4654443375507,3.117716225900492,31.291390458352165
福島県,94718.55034388856,127.75809098208988,8.523679069637966,31.829711884230004,132.99225908487438,3052.5833300571016,4.008879289656828,33.40771899335795
茨城県,111426.71683276891,109.277647890188,8.749433692185923,29.714870096326862,470.2180840682348,3311.6394120712744,3.4260181993432552,32.272204409923894
栃木県,103834.78537058248,331.89422837178364,8.087245285502354,28.8940411122595,301.6727293155995,3265.5064941123883,3.6720801504812632,32.16398274645391
群馬県,94642.85161749464,281.4177638194841,8.255379238331233,29.64065989036208,304.7822478734039,3221.005826836184,3.483349491315571,30.37800583407645
埼玉県,124284.12617694373,176.61558947086803,7.487804038074032,26.806072079909978,1933.9780132973472,3594.5824306471472,3.117708980410496,30.54151611962258
千葉県,132153.95704974796,105.32295432557667,7.410779212040783,27.522977239166963,1218.4868572846726,3679.757499532487,3.427571321108477,30.979396163843266
東京都,149167.82190601467,198.6817101917951,5.967876272071919,22.72285204142432,6402.644448799697,4920.155525707363,3.08184099416376,27.94377577644979
神奈川県,130491.0495308334,295.5180697640456,6.13444500840198,25.8224962454006,3823.227005392966,4049.4558191789015,3.104331008061035,28.92885541318727
新潟県,71339.84350866226,63.50873494961096,7.361770949155969,32.9253268110438,174.92375347460066,2960.3745130484394,3.425505647202776,27.2887009199242
富山県,84218.99974294897,332.91006886261687,8.010504728858585,32.37548003795852,243.62264897201013,3127.323227209044,3.5472470597323342,28.177999066438463
石川県,84310.20568181216,228.86891779967965,8.333791305849749,29.79410627217388,270.5450671151361,3216.979427136708,3.144043877092822,28.184294192082948
福井県,87828.98640304721,193.7764633317816,7.41402660772785,31.25877764346435,182.9994845508433,3150.4574473705065,3.240384360151833,28.35718556469175
山梨県,120821.40908226684,120.62115574080156,7.92108882409127,30.701479306743177,181.39418221070616,3230.804593300432,4.024347065439247,28.02792946020947
長野県,100427.24379898352,236.9616178819352,6.623937457907861,31.78679216078429,151.01588607800284,3157.494087439883,3.5115511013556717,27.102164348748115
岐阜県,142686.81819054735,275.4780562599874,7.226664903239824,30.476838314444223,186.2995926106904,3278.0010287152163,3.598747751346935,27.692071171518844
静岡県,109420.86346974378,229.38443829987983,7.758892888395717,29.83321598964219,467.1468595667206,3306.2874119542494,3.547727110064685,28.22829327681432
愛知県,145260.9542169186,277.4840684316628,7.50997586843,25.25447088233676,1458.0152597973738,3818.0953132648624,3.112637546842289,29.0340826809551
三重県,129193.26831064922,238.89227195645373,7.9778422797884625,29.728954150082416,306.5645624115723,3336.514335970188,3.459742038469978,29.18226517159848
滋賀県,107872.46836114628,444.1111763499126,6.657027841282306,26.511979966185866,351.8736091681643,3455.5056434321777,3.1950400895021445,27.58125949841064
京都府,124835.50787851612,341.8426143105333,6.466776598462504,30.28020388761124,558.9712067993582,3582.196088495716,3.5813804258012336,26.063276142637683
大阪府,148334.04901849295,316.98346342961986,6.772568276604332,27.60649423463272,4638.425566309072,3646.151804698209,3.2881711589242792,28.839936244534147
兵庫県,134934.8088070233,313.5588971422152,6.743398354172335,28.93781191662876,650.5164849030236,3716.112340400623,3.4868354451159957,27.54827761793484
奈良県,128148.40317620667,357.1231727638087,6.880945295018903,31.79098403666968,358.84435943147275,3515.088559664794,3.509636615986373,27.93862372632589
和歌山県,114079.15160028788,415.7886978313085,8.577570366740824,33.1553549595484,195.2703374853164,3164.844744883502,3.906594126120549,28.904373020204748
鳥取県,112556.03922610302,277.1920123887121,6.750218799229827,32.5928295088425,157.79483509308182,2874.0386010215893,3.568109000645169,27.1038542560012
島根県,108862.2702741363,419.8913467813793,7.781316348195329,33.80453148887094,100.0447209857698,2931.8230233079044,4.307249081945262,27.113416473093583
岡山県,128186.71786964,198.25972023350587,7.714895610975166,30.91729011158464,265.4405966549204,3190.045668867506,2.997971481253174,29.37559671567692
広島県,132772.1664662882,172.69695131839032,7.143631583227171,29.630367803430502,330.1679436484847,3375.836773639297,2.849503508173445,28.96899582003094
山口県,108814.73914336106,201.40694261578665,7.545817141101432,34.665018452989024,219.5583178187791,3199.3210611049644,4.004993604142582,27.92267945377852
徳島県,119210.5164413203,228.8901952445873,7.532561921940021,34.26167972327495,173.52360282148672,3151.550325615516,3.8448625585787233,31.42159368085373
香川県,131277.75602897783,206.683757013988,7.321173405060099,31.962632755376514,506.3161372137384,3164.1428952056667,3.68416156771953,30.4907865970642
愛媛県,124979.00499010744,451.4395347460859,7.155590949699442,33.65928975810602,235.1649610037719,3103.6149465878766,4.939031765055141,31.16207412916657
高知県,113068.0363890347,140.12468059815453,8.149660430815382,35.9631655741569,97.34839793176164,2964.568405228408,3.062202295602543,31.096311963491203
福岡県,128267.91639063144,262.79333246871505,7.7282526180558255,27.70622606964384,1029.8212577534186,3344.584595597869,3.9832426665891054,29.0141088338002
佐賀県,124647.73460948934,262.6896861030749,9.65768236721346,30.84915796373601,332.53055488406966,2966.944547949763,2.3929195120271904,29.59757775942747
長崎県,127520.48476092286,218.31615379515773,7.582602762385244,32.741326981209575,317.67691927823427,2952.2238535001056,4.53463353007363,30.907790485316887
熊本県,121415.2209542536,73.46253612003905,9.013306658372771,31.913920546556668,234.60562578109605,3040.5730984535207,3.8343704317727383,31.365164434241024
大分県,84493.95472001651,127.68585187373426,8.054276254282582,33.346739606282675,177.24247566537764,2991.361829751293,4.297233934751432,31.57935107770192
宮崎県,79732.4360307262,110.51108102650024,8.032818545674917,32.72633267762179,138.2735074115539,2879.375203908037,4.131087537303482,31.55090493483048
鹿児島県,74908.32712106864,147.77214756311326,8.994101729956522,32.83412749581932,172.8796807683851,2942.593686582972,4.494914098460024,32.51420786520056
沖縄県,83495.31169078965,122.72739662550768,5.851823823398463,22.608621582576934,642.9012656675093,3027.955151298913,5.16555886755727,39.846061375096006
